global_idx,surah,verse,n_letters,rhyme_letter,topics,pct_emphatic,pct_resonant,pct_plosive,pct_fricative,pct_guttural,pct_labial
990,7,36,58,ن,hell|polytheism-rejection,0.05172,0.36207,0.24138,0.17241,0.17241,0.2069
991,7,37,157,ن,prophets|legal|dialogue|polytheism-rejection,0.05096,0.42038,0.2293,0.15924,0.15924,0.2293
992,7,38,161,ن,punishment|hell|dialogue,0.08075,0.3913,0.23602,0.15528,0.18634,0.18012
993,7,39,62,ن,punishment,0.06452,0.41935,0.22581,0.16129,0.1129,0.29032
994,7,40,104,ن,paradise|creation|eschatology|polytheism-rejection,0.02885,0.42308,0.24038,0.15385,0.11538,0.19231
995,7,41,42,ن,hell|eschatology,0.04762,0.52381,0.14286,0.2381,0.11905,0.28571
996,7,42,70,ن,paradise,0.02857,0.4,0.15714,0.21429,0.2,0.2
997,7,43,150,ن,paradise|creation|prophets|legal|dialogue,0.06667,0.46,0.22,0.14667,0.14667,0.18667
998,7,44,110,ن,punishment|paradise|hell|dialogue,0.09091,0.39091,0.23636,0.14545,0.18182,0.19091
999,7,45,48,ن,polytheism-rejection,0.0625,0.47917,0.14583,0.20833,0.1875,0.22917
1000,7,46,87,ن,paradise,0.05747,0.45977,0.17241,0.14943,0.18391,0.25287
1001,7,47,62,ن,hell|dialogue,0.17742,0.3871,0.22581,0.12903,0.12903,0.17742
1002,7,48,72,ن,hell|dialogue,0.08333,0.40278,0.23611,0.125,0.15278,0.26389
1003,7,49,68,ن,mercy|paradise|hell,0.02941,0.45588,0.19118,0.19118,0.22059,0.17647
1004,7,50,87,ن,paradise|hell|legal|dialogue|polytheism-rejection,0.10345,0.42529,0.17241,0.14943,0.18391,0.17241
1005,7,51,95,ن,polytheism-rejection,0.02105,0.45263,0.14737,0.17895,0.14737,0.22105
1006,7,52,45,ن,mercy,0.08889,0.44444,0.24444,0.15556,0.2,0.26667
1007,7,53,146,ن,prophets|dialogue,0.09589,0.49315,0.18493,0.18493,0.15753,0.20548
1008,7,54,145,ن,creation,0.10345,0.46207,0.15862,0.17931,0.14483,0.17241
1009,7,55,35,ن,,0.08571,0.37143,0.22857,0.17143,0.22857,0.2
1010,7,56,65,ن,mercy|creation,0.10769,0.4,0.18462,0.21538,0.2,0.23077
1011,7,57,123,ن,mercy|nature-imagery,0.08943,0.39837,0.2439,0.19512,0.13821,0.15447
1012,7,58,72,ن,,0.11111,0.41667,0.29167,0.16667,0.11111,0.16667
1013,7,59,76,م,punishment|prophets|prayer|dialogue|monotheism,0.09211,0.44737,0.19737,0.15789,0.21053,0.22368
1014,7,60,32,ن,dialogue,0.125,0.5625,0.1875,0.09375,0.09375,0.21875
1015,7,61,39,ن,prophets|dialogue,0.12821,0.61538,0.12821,0.10256,0.05128,0.20513
1016,7,62,44,ن,,0.06818,0.52273,0.20455,0.11364,0.18182,0.25
1017,7,63,59,ن,mercy,0.10169,0.52542,0.32203,0.05085,0.11864,0.27119
1018,7,64,71,ن,polytheism-rejection,0.04225,0.42254,0.21127,0.1831,0.15493,0.23944
1019,7,65,57,ن,prayer|dialogue|monotheism,0.07018,0.38596,0.24561,0.14035,0.22807,0.21053
1020,7,66,58,ن,dialogue|polytheism-rejection,0.08621,0.48276,0.17241,0.17241,0.10345,0.18966
1021,7,67,39,ن,prophets|dialogue,0.10256,0.5641,0.12821,0.15385,0.07692,0.23077
1022,7,68,30,ن,,0.1,0.46667,0.26667,0.13333,0.16667,0.2
1023,7,69,113,ن,creation|prophets|prayer,0.07965,0.42478,0.28319,0.15044,0.15929,0.24779
1024,7,70,71,ن,prayer|dialogue,0.05634,0.35211,0.33803,0.08451,0.16901,0.15493
