k,amplitude,null_99th_percentile
409,1423.8447035774877,5346.50237115281
410,1271.3098277159825,5329.847371706396
411,3180.311347401502,5461.171088963777
412,1440.8396743254884,5335.149694746268
413,363.99783460775683,5362.205287330489
414,1315.2954742115057,5266.724529692054
415,1658.1001992710067,5189.032209155624
416,3762.3241050266206,5526.542653447834
417,147.6595259322215,5205.268322892779
418,377.49861082815295,5216.492178339551
419,1116.9409252539929,5288.810600529421
420,2468.315010451854,5297.8990565003305
421,1975.0818732560954,5161.198794574013
422,632.4547666674595,5263.067293268908
423,137.10808413614404,5188.131091709571
424,1631.4000921813113,5378.7897603993215
425,1390.2153169200576,5551.034851769887
426,807.4245444294173,5391.506409739755
427,3626.6508240526505,5346.378313063703
428,1238.1981896461216,5373.388042958164
429,1149.9787590633719,5296.7843455980965
430,1307.4796703656507,5174.010524580787
431,433.24925475987266,5365.400023881755
432,1061.091601727595,5446.608691440582
433,113.67928149608717,5417.939679243764
434,297.1554697169692,5491.933886220715
435,1122.514750026362,5479.459366965197
436,101.42897979024963,5376.986903260322
437,865.2999171753626,5318.947034393076
438,99.34751050455982,5433.696622811857
439,286.677628263069,5262.785746644747
440,98.55901065321355,5485.266103133654
441,2300.9702992827947,5346.995737577964
442,670.4133936654449,5430.081120963467
443,1310.998871974178,5126.710754139562
444,32.229635951945355,5259.582178599184
445,23.406729004059557,5179.160252618602
446,14.811316114009845,5067.631499364301
447,322.554969418738,5245.532879076718
448,1114.9883589963013,5264.090653027505
449,1401.219254020915,5227.812403512932
450,516.3559157338165,5297.150220443382
451,1493.3251801651572,5422.3349150876065
452,1829.582928242173,5207.682564133407
453,86.73567521144959,5147.981874990853
454,469.62661673856303,5291.920045195267
455,125.2888070429608,5254.665779076053
456,1086.639516725457,5391.696751407456
457,679.8131574424629,5141.80831851472
458,282.14189190895775,5178.4157512356305
459,496.81099445397984,5335.644278809901
460,1672.374747303284,5378.061584775953
461,315.6640446776711,5309.686911454565
462,785.0732142498257,5407.56205671231
463,744.9760496881368,5348.420965482562
464,1548.1637660635533,5116.018198390064
465,814.5215813980354,5314.110456012699
466,1454.5219701484648,5600.263451836586
467,1137.0632690825512,5207.665145336032
468,2608.1293779866137,5264.537411399291
469,215.13124674339593,5187.230785978634
470,1101.7187697911922,5390.27232137628
471,818.5990369222598,5196.003412265672
472,6608.920483642973,5465.794834284919
473,5951.410802676876,5621.913702570935
474,3329.3102501303715,5276.707489353969
475,5176.880670131382,5263.594062763739
476,1989.2079911041833,5358.655993125117
477,1009.131991655594,5455.179247812248
478,2334.2723942614302,5213.619502912158
479,773.2451376683829,5564.324110855262
480,718.1211907518905,5163.416623276673
481,1175.700423473024,5418.181756716262
482,746.410781186216,5139.955225905895
483,58.24199406524305,5444.296707058603
484,232.37957327274734,5381.358788627982
485,486.04833279113586,5177.2579205376915
486,2560.7959691467936,5330.633575297736
487,2047.7617683225926,5122.640467438201
488,249.38401683019973,5360.8966662913435
489,1204.569556844839,5355.565569635341
490,194.89046125556723,5140.934790116406
491,364.196537476475,5304.762950852999
492,2306.5032555174644,5309.441866642463
493,1845.581278475812,5266.872000100141
494,1604.0126043563846,5542.3679443378805
495,481.4650686877608,5424.442381515291
496,1259.2826717297007,5544.6450186917855
497,1549.6943067204227,5479.5841842108575
498,1236.962576917348,5147.163031768945
499,1047.6235091214983,5277.9311424618145
500,671.3152275034929,5162.72318634262
501,1009.7953657706112,5241.569535818291
502,241.28454163730913,5398.324337702803
503,295.43725808585856,5288.63524821927
504,1449.7411079399242,5217.187923899237
505,783.3321307229292,5316.4827846770895
506,380.34921685052944,5159.355786368703
507,1453.007431181524,5271.036098601211
508,1590.2670270443539,5237.543496231354
509,725.0342620060087,5259.22391764018
510,480.78104047658513,5092.619271212049
511,1632.343952707859,5561.8649631169765
512,952.4409390463384,5239.17669882565
513,2603.0514587063967,5414.684276457891
514,1984.8080449053762,5273.891511130054
515,1036.25432360346,5256.94820230518
516,229.37909496723276,5512.847339464372
