surah,verse,mushaf_index,n_words,n_segments,n_letters_rasm,n_root_tokens,n_lemma_tokens,n_pos_segments,n_hapax_root_tokens,frac_hapax_root_tokens,n_hapax_lemma_tokens,frac_hapax_lemma_tokens,mean_log10_root_freq,median_log10_root_freq,min_root_freq,mean_root_surprisal_bits,sum_root_surprisal_bits,frac_root_tokens_freq_le5,n_root_types,ttr_root,root_simpson_repeat,rime_pausal,rime_class_size,fasila_readable,share_nominal,share_verbal,share_pronominal,share_particle,segments_per_word,frac_derived_stems
26,98,3030,4,7,18,3,4,4,0,0.0,0,0.0,2.6139206795858576,2.931457870689005,83,6.925460310697244,20.776380932091733,0.0,3,1.0,0.0,Iن,1293,1,0.5,0.25,0.0,0.25,1.75,0.3333333333333333
26,99,3031,4,7,19,2,4,4,0,0.0,0,0.0,2.050288651394798,2.050288651394798,66,8.797805380323473,17.595610760646945,0.0,2,1.0,0.0,Uن,1751,1,0.25,0.25,0.0,0.5,1.75,1.0
26,100,3032,4,6,13,1,3,4,0,0.0,0,0.0,1.4913616938342726,1.4913616938342726,31,10.654520543633698,10.654520543633698,0.0,1,1.0,,Iن,1293,1,0.25,0.0,0.25,0.5,1.5,0.0
26,101,3033,3,4,11,2,3,3,0,0.0,0,0.0,1.7562754964521052,1.7562754964521052,21,9.774495939994075,19.54899187998815,0.0,2,1.0,0.0,Iم,551,1,0.6666666666666666,0.0,0.0,0.3333333333333333,1.3333333333333333,0.0
26,102,3034,7,11,26,3,6,7,0,0.0,0,0.0,2.2883849752371703,2.9439888750737717,6,8.006866512862096,24.02059953858629,0.0,3,1.0,0.0,Iن,1293,1,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.42857142857142855,1.5714285714285714,0.3333333333333333
26,103,3035,8,11,29,4,8,8,0,0.0,0,0.0,2.7229458773467896,2.76302611899274,167,6.563286443204555,26.25314577281822,0.0,4,1.0,0.0,Iن,1293,1,0.375,0.125,0.125,0.375,1.375,0.25
26,104,3036,5,10,21,3,4,5,0,0.0,0,0.0,2.5323242450960355,2.530199698203082,119,7.1965177988716205,21.58955339661486,0.0,3,1.0,0.0,Iم,551,1,0.6,0.0,0.2,0.2,2.0,0.0
26,105,3037,4,5,18,3,4,4,0,0.0,0,0.0,2.6599701363243486,2.7101173651118162,282,6.772487326603351,20.317461979810055,0.0,3,1.0,0.0,Iن,1293,1,0.75,0.25,0.0,0.0,1.25,0.6666666666666666
26,106,3038,7,11,24,3,6,7,0,0.0,0,0.0,2.5433080287068113,2.41161970596323,96,7.160030459506822,21.480091378520466,0.0,3,1.0,0.0,Uن,1751,1,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,1.5714285714285714,0.3333333333333333
26,107,3039,4,6,14,2,3,4,0,0.0,0,0.0,2.8270531200927937,2.8270531200927937,513,6.217449668645344,12.434899337290688,0.0,2,1.0,0.0,Iن,1293,1,0.5,0.0,0.25,0.25,1.5,0.0
26,108,3040,3,8,17,3,3,3,0,0.0,0,0.0,2.659068877857313,2.41161970596323,129,6.7754812424257524,20.32644372727726,0.0,3,1.0,0.0,Uن,1751,1,0.3333333333333333,0.6666666666666666,0.0,0.0,2.6666666666666665,0.6666666666666666
26,109,3041,11,16,38,5,11,11,0,0.0,0,0.0,2.42002423353093,2.110589710299249,108,7.569570362345923,37.84785181172961,0.0,4,0.8,0.1,Iن,1293,1,0.36363636363636365,0.09090909090909091,0.0,0.5454545454545454,1.4545454545454546,0.0
26,110,3042,3,8,17,3,3,3,0,0.0,0,0.0,2.659068877857313,2.41161970596323,129,6.7754812424257524,20.32644372727726,0.0,3,1.0,0.0,Uن,1751,1,0.3333333333333333,0.6666666666666666,0.0,0.0,2.6666666666666665,0.6666666666666666
26,111,3043,5,11,26,4,4,5,0,0.0,0,0.0,2.25440261510673,2.58975866099066,4,8.119753469709986,32.47901387883994,0.25,4,1.0,0.0,Uن,1751,1,0.2,0.6,0.2,0.0,2.2,0.5
26,112,3044,6,11,24,4,6,6,0,0.0,0,0.0,2.9667020797070056,3.03723633547155,360,5.753545866281104,23.014183465124415,0.0,4,1.0,0.0,Uن,1751,1,0.16666666666666666,0.5,0.3333333333333333,0.0,1.8333333333333333,0.0
26,113,3045,7,10,25,3,7,7,0,0.0,0,0.0,2.2102375216536934,2.037426497940624,40,8.266466734464954,24.79940020339486,0.0,3,1.0,0.0,Uن,1751,1,0.2857142857142857,0.14285714285714285,0.0,0.5714285714285714,1.4285714285714286,0.3333333333333333
26,114,3046,4,7,19,2,3,4,0,0.0,0,0.0,1.8214794397048952,1.8214794397048952,5,9.55789312900519,19.11578625801038,0.5,2,1.0,0.0,Iن,1293,1,0.5,0.0,0.25,0.25,1.75,0.5
